date,so2_max_du,so2_mean_du,so2_15_du
2022-04-14,3.35502,0.744534,0.262698
2022-04-15,4.34277,1.32999,0.360789
2022-04-16,1.96632,0.290317,0.102278
2022-04-17,1.76303,0.139212,0.162425
2022-04-18,5.46003,0.690386,0.178951
2022-04-19,5.04478,0.541432,0.259811
2022-04-23,10.6192,3.26612,2.02247
2022-04-24,1.1054,0.537461,2.02202
2022-04-25,7.33627,2.40191,1.32448
2022-04-27,0.729558,0.00429574,0.0313777
2022-04-29,1.6108,0.0183041,0.0626761
2022-04-30,8.32976,1.02048,0.323294
2022-05-03,1.27367,0.350728,0.00932105
2022-05-05,4.21753,1.05071,0.32974
2022-05-06,2.42637,1.01944,0.0958083
2022-05-07,3.90256,1.72267,0.561063
2022-05-08,2.19808,0.570648,0.0882479
2022-05-09,5.16762,1.04677,0.251868
2022-05-10,4.70606,1.21069,0.301395
2022-05-11,6.43584,1.34626,0.425179
2022-05-13,1.98108,0.241769,0.091445
2022-05-14,2.98041,0.540811,0.206327
2022-05-15,7.30392,1.17408,0.42953
2022-05-16,2.18109,0.586395,0.292828
2022-05-17,2.56049,0.533739,0.155142
2022-05-19,3.83098,0.846564,0.231787
2022-05-20,2.28227,0.38023,0.376942
2022-05-21,11.4792,2.72659,0.905636
2022-05-23,5.5547,1.63465,0.20448
2022-05-24,3.32476,0.8236,0.105291
2022-05-25,2.32835,1.23111,0.0654269
2022-05-27,9.92601,2.2458,0.687635
2022-05-29,1.02267,1.02267,-0.0219465
2022-06-01,1.18579,0.272507,0.0628673
2022-06-02,1.58147,0.208197,0.184325
2022-06-03,1.62918,0.284344,0.0350129
2022-06-04,3.7639,1.42545,0.453205
2022-06-05,4.86299,0.986565,0.324627
2022-06-06,6.68144,1.67201,0.326735
2022-06-07,3.85062,0.971224,0.0899609
2022-06-08,3.98457,2.24137,-0.0537355
2022-06-10,7.07835,1.60366,0.429616
2022-06-11,5.14656,1.89107,0.408166
2022-06-12,1.342,0.717587,0.163496
2022-06-13,0.618549,0.618549,0.0837822
2022-06-14,4.09415,1.52591,0.381911
2022-06-18,6.71741,1.96074,0.261319
2022-06-19,5.94961,1.6501,0.259511
2022-06-20,7.09075,1.59835,0.451486
2022-06-21,5.77956,0.936836,0.253614
2022-06-22,5.21821,1.16846,0.321814
2022-06-23,1.78653,0.738008,0.0957075
2022-06-25,6.25377,1.58038,0.270738
2022-06-26,-0.609601,-0.609601,0.286249
