latitude,longitude,frp,bright_ti4,ts
-6.10456,105.42194,6.81,352.5,2026-09-09 00:41
-6.10521,105.42554,7.51,308.2,2026-09-09 00:41
-6.10065,105.42171,5.69,338.36,2026-09-09 00:41
-6.09985,105.41703,5.69,315.84,2026-09-09 00:41
-6.10686,105.42423,10.48,314.06,2026-09-09 00:41
-6.11004,105.42027,6.81,317.07,2026-09-09 00:41
-6.10626,105.42071,5.69,345.68,2026-09-09 00:41
-6.09934,105.41518,7.84,330.67,2026-09-09 01:15
-6.10014,105.41993,6.16,334.72,2026-09-09 01:15
-6.10089,105.42442,6.16,332.04,2026-09-09 01:15
-6.10504,105.42417,8.59,342.09,2026-09-09 01:36
-6.1015,105.42474,8.59,345.01,2026-09-09 01:36
-6.10861,105.42377,6.09,328.62,2026-09-09 01:36
-6.10855,105.42451,4.94,321.1,2026-09-09 01:36
-6.10798,105.41973,6.04,348.47,2026-09-09 01:36
-6.10794,105.42046,6.96,352.88,2026-09-09 01:36
-6.10738,105.4159,6.04,314.99,2026-09-09 01:36
-6.10735,105.41653,6.96,320.41,2026-09-09 01:36
-6.10396,105.42104,13.88,352.28,2026-09-09 13:54
-6.10322,105.42562,19.97,348.02,2026-09-09 13:54
-6.09945,105.4251,8.11,330.33,2026-09-09 13:54
-6.1077,105.42176,13.88,350.22,2026-09-09 13:54
-6.09819,105.42104,10.6,331.7,2026-09-09 14:14
-6.10525,105.4213,13.41,337.69,2026-09-09 14:14
-6.10462,105.41803,10.6,348.99,2026-09-09 14:14
-6.10451,105.42541,18.75,346.95,2026-09-09 14:14
-6.10398,105.42172,10.6,351.83,2026-09-09 14:14
-6.10326,105.42593,14.15,339.86,2026-09-09 14:14
-6.10003,105.4174,13.41,354.64,2026-09-09 14:14
-6.09948,105.42049,13.41,367.0,2026-09-09 14:14
-6.09881,105.41743,10.6,367.0,2026-09-09 14:14
